Participant #,ca-bubble,ca-grid,vsup-bubble,vsup-grid,,CA,VSUP
1,5.6,4.5,4.3,6,,10.1,10.3
2,3.7,4.7,5.1,4,,8.4,9.1
3,4.1,4.2,4.7,4.8,,8.3,9.5
4,5.2,5.8,5,6,,11,11
5,4.2,3.7,2.8,4,,7.9,6.8
6,1.6,4.2,2.8,2.3,,5.8,5.1
7,1.6,3.3,6.1,2.4,,4.9,8.5
8,4.8,2.5,3.4,3,,7.3,6.4
9,4.9,5.7,4.7,6.5,,10.6,11.2
10,4.5,6.5,5.4,3.8,,11,9.2
11,4.2,5.7,6.2,5.5,,9.9,11.7
12,3.9,2.6,2.6,7,,6.5,9.6
13,6.8,4.3,4.2,5.9,,11.1,10.1
14,1.3,3.1,1.8,5.4,,4.4,7.2
15,3.2,5.1,7.6,3.9,,8.3,11.5
16,3.9,2.9,3.7,7.7,,6.8,11.4
17,5.6,5.2,6.6,6,,10.8,12.6
18,1.8,3.4,2,1.4,,5.2,3.4
19,7.8,6.1,8.7,4.8,,13.9,13.5
20,2.3,5.6,4.3,2.7,,7.9,7
21,4.7,3.7,4.3,6.2,,8.4,10.5
22,2.5,6.2,3.3,1.9,,8.7,5.2
23,5.9,4.8,6.5,7.1,,10.7,13.6
24,4.4,4.4,3.8,5.3,,8.8,9.1
25,6,5.5,8.8,7.5,,11.5,16.3
26,2.5,3.5,2.4,3,,6,5.4
27,3.8,4.1,6.1,3.9,,7.9,10
28,4.5,6,6.3,8.3,,10.5,14.6
29,3,1.6,1.7,2.3,,4.6,4
30,4.8,5,5.7,7.3,,9.8,13
31,4.3,6.2,5.1,5.7,,10.5,10.8
32,5.7,4.4,5.4,5.7,,10.1,11.1
33,4.1,4.5,4.7,4.9,,8.6,9.6